Name,Lat Dd,Sec Town,Long Dd,Longitude,Structures,Yr Confirm,Latitude,Status,Aprox Str1,Yr Range1,Aprox Str2,Yr Range2,latitude,longitude
BENDATA,12.337778,,22.484444,0222904,~75 of ~75,2003,122016.0,DESTROYED,75.0,2003.0,75.0,2003.0,12.3377777778223,22.4844444446555
DAMOUSSA,12.432778,,22.440556,0222626,~450,,122558.0,NO DAMAGE,0.0,0.0,450.0,0.0,12.4327777781721,22.4405555556945
GOBE,12.443611,1,22.451944,0222707,Secondary Town; ~1500,,122637.0,NO DAMAGE,0.0,0.0,0.0,0.0,12.4436111113639,22.4519444441809
DOLONGA,12.442222,,22.4725,0222821,~100,,122632.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.4422222217783,22.4724999999752
ESHBARRA,12.463056,,22.460833,0222739,~25,,122747.0,NO DAMAGE,0.0,0.0,25.0,0.0,12.4630555556695,22.4608333333918
AMBLENG,12.496111,,22.441111,0222628,,2004,122946.0,DESTROYED,0.0,2004.0,0.0,2004.0,12.4961111114388,22.4411111109891
KAJA BAGOL,12.216111,,22.483333,0222900,~100,,121258.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.2161111107393,22.483333333167
UMDIRBO HAJEER,12.161667,,22.505278,0223019,~100,,120942.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.1616666666835,22.5052777776475
REWANA,12.806667,,22.503611,0223013,~25 of ~25,,124824.0,DESTROYED,25.0,0.0,25.0,0.0,12.8066666668334,22.5036111108643
MESSEMENGE,12.775833,,22.516667,0223100,~200,,124633.0,NO DAMAGE,0.0,0.0,200.0,0.0,12.775833333142,22.5166666670332
DORTY,12.7475,,22.517222,0223102,~75,,124451.0,NO DAMAGE,0.0,0.0,75.0,0.0,12.7474999996255,22.5172222223279
KHAROBA,12.751667,,22.529444,0223146,~100 of ~100,2005/2006,124506.0,DESTROYED,100.0,2005.0,100.0,2006.0,12.7516666665836,22.5294444442059
DULMANGA,12.726667,,22.5375,0223215,~200 of ~200,2005/2006,124336.0,DESTROYED,200.0,2005.0,200.0,2006.0,12.7266666666335,22.5375000000251
DANAJOURA,12.714722,,22.518889,0223108,,2005/2006,124253.0,DESTROYED,0.0,2005.0,0.0,2006.0,12.7147222219531,22.5188888891111
LULAN,12.694167,,22.518333,0223106,~25,,124139.0,NO DAMAGE,0.0,0.0,25.0,0.0,12.6941666670582,22.5183333329172
SHILO LOKI,12.694722,,22.535833,0223209,~75,,124141.0,NO DAMAGE,0.0,0.0,75.0,0.0,12.6947222223528,22.5358333332419
NUR AL HUDA,12.686111,,22.54,0223224,~250,,124110.0,NO DAMAGE,0.0,0.0,250.0,0.0,12.686111111239,22.5400000002
DAR AL SALAM,12.6725,,22.554722,0223317,~100,,124021.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.6724999997753,22.5547222222529
HABILA,12.683611,1,22.562222,0223344,Secondary Town,,124101.0,NO DAMAGE,0.0,0.0,0.0,0.0,12.6836111110641,22.5622222218782
KUCHUKUCHITA,12.945,,22.4975,0222951,~100 of ~100,2004,125642.0,DESTROYED,100.0,2004.0,100.0,2004.0,12.9449999999502,22.4974999999252
LLILI,12.953889,,22.548611,0223255,~25 of ~25,2004,125714.0,DESTROYED,25.0,2004.0,25.0,2004.0,12.9538888891611,22.5486111113139
SHAKAM SHAKAM,12.741944,,22.49,0222924,~100,,124431.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.7419444448804,22.4900000002999
,12.891389,,22.5725,0223421,,2004,125329.0,DESTROYED,0.0,2004.0,0.0,2004.0,12.891388889286,22.5724999997753
,12.944167,,22.445278,0222643,~300 of ~300,2004,125639.0,DESTROYED,300.0,2004.0,300.0,2004.0,12.9441666665586,22.4452777779472
ASMAL MOLOK,12.905833,,22.383611,0222301,,2004/2005,125421.0,DESTROYED,0.0,2004.0,0.0,2005.0,12.9058333332419,22.3836111114638
SAWANY,12.883333,,22.394167,0222339,~200,,125300.0,NO DAMAGE,0.0,0.0,200.0,0.0,12.8833333334667,22.3941666665586
FURA,12.881944,,22.446667,0222648,~100 of ~100,2004,125255.0,DESTROYED,100.0,2004.0,100.0,2004.0,12.8819444447805,22.4466666666335
,12.771111,,22.372778,0222222,,2004/2005,124616.0,DESTROYED,0.0,2004.0,0.0,2005.0,12.7711111108892,22.3727777773727
TAWENG,12.796667,,22.406389,0222423,,,124748.0,NO DAMAGE,0.0,0.0,0.0,0.0,12.7966666670332,22.4063888893359
KASAR ROS,12.868889,,22.441944,0222631,~150 of ~150,2004,125208.0,DESTROYED,150.0,2004.0,150.0,2004.0,12.8688888886115,22.4419444443808
,12.877222,,22.436667,0222612,~75 of ~75,2004,125238.0,DESTROYED,75.0,2004.0,75.0,2004.0,12.8772222225277,22.4366666668334
,12.885556,,22.459722,0222735,~50 of ~50,2004,125308.0,DESTROYED,50.0,2004.0,50.0,2004.0,12.8855555555446,22.4597222219032
HARAM ALKAWAL,12.660556,,22.564722,0223353,,,123938.0,NO DAMAGE,0.0,0.0,0.0,0.0,12.6605555559943,22.5647222220531
TAMBELI,12.655,,22.556944,0223325,~50 of ~50,,123918.0,DESTROYED,50.0,0.0,50.0,0.0,12.6550000003499,22.5569444443308
DAR EL SALAM,12.648889,,22.548333,0223254,~50,,123856.0,NO DAMAGE,0.0,0.0,50.0,0.0,12.6488888885116,22.5483333332169
,12.670278,,22.556944,0223325,~50,,124013.0,NO DAMAGE,0.0,0.0,50.0,0.0,12.6702777776974,22.5569444443308
JOGHANA,11.114444,,25.296667,0251748,,2006,110652.0,DAMAGED,0.0,2006.0,0.0,2006.0,11.1144444443558,25.2966666663337
,11.131111,,25.2825,0251657,~25 of ~25,2007,110752.0,DESTROYED,25.0,2007.0,25.0,2007.0,11.1311111112889,25.2824999995755
TENDELTI,11.121667,,25.270278,0251613,~50 of ~50,2007,110718.0,DESTROYED,50.0,2007.0,50.0,2007.0,11.1216666667834,25.2702777776975
,11.115556,,25.213056,0251247,,2006,110656.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1155555558444,25.2130555553697
,11.195556,,25.231944,0251355,~100 of ~100,2006,111144.0,DESTROYED,100.0,2006.0,100.0,2006.0,11.1955555551449,25.2319444443808
TIGLA,11.151667,,25.283333,0251700,~50 of ~50,2006,110906.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.1516666670832,25.2833333329671
BANAYA,11.1475,,25.251944,0251507,~100 of ~100,2006,110851.0,DESTROYED,100.0,2006.0,100.0,2006.0,11.1475000001251,25.2519444448804
,11.136944,,25.228889,0251344,,2006,110813.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.136944444131,25.2288888889113
UMM RABI,11.183056,,25.264722,0251553,,2006,111059.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1830555551699,25.2647222220531
,11.165278,,25.293889,0251738,,2006,110955.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1652777776475,25.2938888889612
,11.170556,,25.316111,0251858,,2006,111014.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1705555551949,25.3161111115387
,11.167222,,25.325,0251930,,2006,111002.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1672222225277,25.3249999998503
ABU SULAG,11.194444,,25.315,0251854,~50 of ~50,2006,111140.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.1944444445556,25.3150000000501
,11.206667,,25.319167,0251909,~25 of ~25,2006,111224.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.2066666664336,25.3191666670082
,11.183333,,25.293056,0251735,~25 of ~25,2006,111100.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.1833333332669,25.2930555555696
